filename,UCIQE,UIQM
1.JPG,0.1475,0.2904
10.JPG,0.1569,0.2949
100.JPG,0.1506,0.2856
11.JPG,0.1807,0.2960
12.JPG,0.1620,0.2894
13.JPG,0.1680,0.2442
14.JPG,0.1559,0.2545
15.JPG,0.1457,0.2555
16.JPG,0.1507,0.2719
17.JPG,0.1533,0.2864
18.JPG,0.1235,0.2791
19.JPG,0.1626,0.2644
20.JPG,0.1592,0.2757
21.JPG,0.1451,0.3187
22.JPG,0.1560,0.2794
23.JPG,0.1455,0.3182
24.JPG,0.1621,0.2868
25.JPG,0.1594,0.2690
26.JPG,0.1521,0.2745
27.JPG,0.1450,0.2786
28.JPG,0.1364,0.3187
29.JPG,0.1521,0.3094
30.JPG,0.1602,0.2778
31.JPG,0.1503,0.2627
32.JPG,0.1621,0.3231
33.JPG,0.1290,0.2488
34.JPG,0.1481,0.2677
35.JPG,0.1516,0.3196
36.JPG,0.1540,0.2632
37.JPG,0.1488,0.2207
38.JPG,0.1372,0.2374
39.JPG,0.1599,0.2724
4.JPG,0.1332,0.2524
40.JPG,0.1664,0.2379
41.JPG,0.1598,0.2733
42.JPG,0.1515,0.2918
43.JPG,0.1535,0.2685
44.JPG,0.1922,0.3251
45.JPG,0.1542,0.3200
46.JPG,0.1358,0.2313
47.JPG,0.1147,0.1917
49.JPG,0.1765,0.3340
5.JPG,0.1650,0.2587
50.JPG,0.1513,0.2780
51.JPG,0.1539,0.2840
52.JPG,0.0963,0.1888
53.JPG,0.1290,0.2071
54.JPG,0.1537,0.2942
55.JPG,0.1459,0.2894
56.JPG,0.1511,0.2614
57.JPG,0.1535,0.2993
58.JPG,0.1233,0.1981
59.JPG,0.1318,0.2099
6.JPG,0.1518,0.2411
60.JPG,0.1130,0.1908
61.JPG,0.1885,0.3187
68.JPG,0.1067,0.1849
69.JPG,0.1307,0.3062
7.JPG,0.1468,0.3061
70.JPG,0.1231,0.2696
71.JPG,0.1129,0.2289
72.JPG,0.1423,0.3388
73.JPG,0.1336,0.2263
74.JPG,0.1515,0.2865
75.JPG,0.1331,0.2284
76.JPG,0.1369,0.2313
77.JPG,0.1428,0.2604
78.JPG,0.1152,0.2213
79.JPG,0.1543,0.2633
8.JPG,0.1505,0.2994
80.JPG,0.1659,0.2808
81.JPG,0.1293,0.2210
82.JPG,0.1584,0.2810
83.JPG,0.1656,0.3213
84.JPG,0.1414,0.3075
85.JPG,0.1438,0.2612
86.JPG,0.1295,0.3004
87.JPG,0.1236,0.2905
88.JPG,0.1233,0.2923
89.JPG,0.1475,0.3370
9.JPG,0.1431,0.3191
90.JPG,0.1506,0.2917
91.JPG,0.1385,0.2596
92.JPG,0.1394,0.2776
93.JPG,0.1138,0.2412
94.JPG,0.1501,0.2900
95.JPG,0.1377,0.2810
96.JPG,0.1365,0.3171
97.JPG,0.1530,0.2965
99.JPG,0.1543,0.3206
