filename,UCIQE,UIQM
1.JPG,0.1171,0.1884
10.JPG,0.1048,0.1713
100.JPG,0.1156,0.1902
11.JPG,0.1366,0.2067
12.JPG,0.1349,0.2009
13.JPG,0.1342,0.1865
14.JPG,0.1164,0.1724
15.JPG,0.1222,0.1780
16.JPG,0.1219,0.1852
17.JPG,0.1061,0.1715
18.JPG,0.0758,0.1441
19.JPG,0.1247,0.1809
20.JPG,0.1493,0.2155
21.JPG,0.1020,0.1857
22.JPG,0.1173,0.1867
23.JPG,0.1027,0.1866
24.JPG,0.1378,0.2028
25.JPG,0.1206,0.1800
26.JPG,0.1211,0.1851
27.JPG,0.0971,0.1610
28.JPG,0.0965,0.1819
29.JPG,0.1053,0.1802
30.JPG,0.1500,0.2161
31.JPG,0.1151,0.1786
32.JPG,0.1074,0.1880
33.JPG,0.0950,0.1545
34.JPG,0.0993,0.1602
35.JPG,0.1093,0.1899
36.JPG,0.1313,0.1898
37.JPG,0.1423,0.1846
38.JPG,0.1048,0.1576
39.JPG,0.1299,0.1924
4.JPG,0.1092,0.1672
40.JPG,0.1406,0.1915
41.JPG,0.1298,0.1928
42.JPG,0.1187,0.1853
43.JPG,0.1215,0.1841
44.JPG,0.1432,0.2094
45.JPG,0.1096,0.1892
46.JPG,0.1105,0.1632
47.JPG,0.1074,0.1513
49.JPG,0.1362,0.2216
5.JPG,0.1316,0.1907
50.JPG,0.1166,0.1867
51.JPG,0.1299,0.1996
52.JPG,0.0781,0.1191
53.JPG,0.1107,0.1561
54.JPG,0.1260,0.2006
55.JPG,0.1072,0.1774
56.JPG,0.1162,0.1783
57.JPG,0.1211,0.1961
58.JPG,0.1197,0.1678
59.JPG,0.1190,0.1633
6.JPG,0.1247,0.1770
60.JPG,0.1046,0.1484
61.JPG,0.1294,0.2060
68.JPG,0.0930,0.1258
69.JPG,0.1039,0.1855
7.JPG,0.0836,0.1508
70.JPG,0.0966,0.1696
71.JPG,0.0918,0.1462
72.JPG,0.1050,0.2008
73.JPG,0.1168,0.1696
74.JPG,0.1226,0.1984
75.JPG,0.1145,0.1681
76.JPG,0.1264,0.1790
77.JPG,0.1242,0.1828
78.JPG,0.1007,0.1538
79.JPG,0.1375,0.1956
8.JPG,0.1094,0.1817
80.JPG,0.1583,0.2219
81.JPG,0.1230,0.1714
82.JPG,0.1301,0.1994
83.JPG,0.1263,0.2137
84.JPG,0.1033,0.1878
85.JPG,0.1110,0.1747
86.JPG,0.1007,0.1714
87.JPG,0.0946,0.1733
88.JPG,0.0922,0.1679
89.JPG,0.1106,0.2050
9.JPG,0.1140,0.1975
90.JPG,0.1204,0.1953
91.JPG,0.1069,0.1709
92.JPG,0.1124,0.1823
93.JPG,0.1020,0.1642
94.JPG,0.1200,0.1944
95.JPG,0.1030,0.1765
96.JPG,0.1074,0.1917
97.JPG,0.1067,0.1755
99.JPG,0.1091,0.1889
